id,english,language,pronunciation,description,category,type,image
58,beating the rythm (ngaya balbal mara jingga-n) i beat rhythm hand punch 'i am beating my hands to the rhythm',BalBal,,,,adverb,
59,(refelxive) roll oneself,BalBali,,,,intransitive Verb,
60,"bone, lump, fruit seed, wart",Balban,,,,Noun,
61,shark (eats humans),Balbirrigan,,,,Noun,shark.jpg
62,"hit, strike (with long object, cf. jingga), kill; call [someone]...",Balga,,,,transitive Verb,
63,"cousin, ? brother-in-law in the ingham language",Balgala,,,,Noun,
64,"bark camp (little), house",Balgan,,,,Noun,
65,full. cf. gajabalgara,Balgara,,,,adjective,
66,flat rock,Balgara,,,,Noun,
67,"(classunknown, 1?) hit (with plural agents)",Balgara,,,,transitive Verb,
68,make flat or smooth,Balgaranga,,,,transitive Verb,
69,(instrumental verb) hit with,Balgari,,,,transitive Verb,
70,(reciprocal) hit eachother/ one another,Balgawa,,,,intransitive Verb,
71,"stone, money",Balgi,,,,Noun,
72,"(not warrungu) stone axe, (stone) tomahawk",Balgu,,,,Noun,
73,(jalnguy?) grass hat,BalguBalgu,,,,Noun,
74,"(jalnguy ?, song word) sleep (barguli ?)",Balguli    (end of page 4),,,,intransitive Verb,
75,"naked, without a weapon",Balgurru (page 5),,,,adjective,
76,(LOC:baligilay-ja) valley of lagoons ,Baligilay,,,,Noun.I,
77,(song word ?) corpse from which flesh has been cut off and in which only bones are left,BaljaBalja,,,,Noun,
78,empty,Balji,,,,adjective,
79,wifes brother(brother-in-law),Baljin,,,,Noun,
80,(jalnguy ?) smell,Balmbi,,,,transitive Verb,
81,(instumental) smell with,Balmbiri,,,,transitive Verb,
82,"round object, ball, parcel, bundle",Balmbu,,,,Noun,
83,make a ball,Balmbunga,,,,transitive Verb,
84,stoney hill (on stone river ?),Balnggara,,,,Noun,
85,"(of jiru language, in clump point area) dugong",Balnggay,,,,Noun,
86,"(jalnguy) come out (=banda), splash",Balnyjal,,,,transitive Verb,
87,"""let... alone, leave.. alone (to do..) (non- interference""",Balu,,,,adverb,
88,as balu,Balu=guli,,,,adverb,
89,"(aboriginal) man, male (e.g. he-cat)",Bama,,,,Noun,
90,"be like a man/human, come to life",Bamabi,,,,intransitive Verb,
91,"belly, guts, eggs",Bamba,,,,Noun,
92,handle on a tomahawk,Bambal,,,,Noun,
93,white,Bambara,,,,adjective,
94,make white,bambaranga,,,,transitive Verb,
95,possum (name of a skin group ?),bambari,,,,Noun,
96,"egg, coconut",bambu,,,,Noun,
97,"shoot, hit with a boomerang, etc.",bambu,,,,transitive Verb,
98,(instumental berb) shoot with,bamburi,,,,transitive Verb,
99,(reciprocal) shoot eachother/one another,bambuwa,,,,intransitive Verb,
100,"little girl, young femle horse, she-cat, she-goat",ban.gal,,,,Noun,
101,"break, make crack",bana,,,,transitive Verb,
102,type of big black fig (as big as a tennis ball),banba,,,,Noun,
103,"shake (with fear, anger, cold), be frightened",banbarri,,,,intransitive Verb,
104,show the way by breacking branches (or twigs) of the  tress standing by,banbi,,,,transitive Verb,
105,"come out, go in (i.e. move through some passage ?), crack (ofchaps), chap",banda,,,,intransitive Verb,
106,boney brimv(lives in fresh water and jumps),bandala,,,,Noun,
107,"come out, crack, burst, explode",bandali,,,,intransitive Verb,
108,bottle,bandara,,,,Noun,
109,"(1) make crack, (2) come out with",bandari,,,,transitive Verb,
110,make (fingers) crack,bandaynga,,,,transitive Verb,
111,paint,bangga,,,,transitive Verb,
112,bullock swamp (on Herbert River near Kirrama Station),banggaliny,,,,Noun,
113,stoney hill (on stone river),banggara,,,,Noun,
114,"(1), blue tounge lizard, (2) place (near Cashmere and Tiger mountain?)",banggarra,,,,Noun,
115,(Reciprocal) paint eachother/one another,banggawa,,,,intransitive Verb,
116,"(erg: banggany-ju, DAT: banggay-gu, banggay-ngga) spear",banggay,,,,Noun.II,
117,"hollow (in a tree, on the ground), hole",banggu,,,,Noun,
118,turtle (fresh water turtle),banggurru,,,,Noun,
119,turtle jump ( a place in wairuna area). its etymology bunggurru julba-l/ julba-n/ julba-y (a turtle jumped),banggurru-julbal,,,,Noun,
120,turtle jump ( a place in wairuna area). its etymology bunggurru julba-l/ julba-n/ julba-y (a turtle jumped),banggurru-julban,,,,Noun,
121,turtle jump ( a place in wairuna area). its etymology bunggurru julba-l/ julba-n/ julba-y (a turtle jumped),banggurru-julbay,,,,Noun.II,
122,green frog (used for medicine),bangguy,,,,Noun,
123,sweat,banirra,,,,Noun,
124,"follow (the road, footprints) (2) jalnguy vi. come out",Banja ,,,,transitive Verb,
125,grass bird ( with red tail),banjar ,,,,Noun,
126,ask (a question or for somthing),banju ,,,,transitive Verb,
127,(REC) ask eachother/ one another,banjuwa,,,,intransitive Verb,
128,"hit, bust",banyji,,,,transitive Verb,
129,(non-warrungu) brother in law,banyji,,,,Noun,
130,(non-warrungu) brother in law,banyji-juway ,,,,noun,
131,(girramay ?) quickly,baraman ,,,,adverb,
132,ice,barbay ,,,,Noun.I,
133,place (bushy country on herbert river),barbibarra ,,,,noun,
134,"bush rat (brown, lives in the bush)",bargil ,,,,noun,
135,(song word) lie down,barguli ,,,,intransitive Verb,
136,"twist, turn",bari ,,,,transitive Verb,
137,"twisty, hard to catcch (e.g language)",barilbaril ,,,,adjective,
138,"(REFL) twist oneself, turn oneself, turn around",barili ,,,,intransitive Verb,
139,twist,baringa ,,,,transitive Verb,
140,avoid meeting someone 'dodge' (used in the LOC: bariny-ja),bariny ,,,,noun,
141,sparrow hawk (= chicken  hawk),barinybariny ,,,,noun,
142,kangaroo rat,barngala ,,,,noun,kangaroo_rat.jpg
143,kangaroo rat,barngan,,,,noun,
144,bark billy can,barrawu ,,,,noun,
145,make [something into] a barrawu,barrawunga ,,,,transitive Verb,
146,in the morning,barraymbarray,,,,adverb,
147,porcupine,barrbira ,,,,noun,
148,swamp wallaby,barrgan,,,,noun,
149,womans name (one of alf palmers daughters: glen),barrgilba ,,,,noun,
150,"(stone) axe , rock",barri,,,,noun,
151,"place (on hertbert river, in cashmere area ?)",barribarri ,,,,noun,
152,"lava, valley of lagoons or people of the area, warrungu people",barribiri ,,,,noun,
153,fence (from the english word paddock ?),barrigin,,,,noun,
154,younger sister,barrina ,,,,kinship noun,
155,"lava, lava country, people of the area, i.e. warrungu,  (gujal) and gugu-badhun people",barriwubu ,,,,noun,
156,light (not dark),barrnga,,,,adjective,
157,"bent, crooked, winding (road, etc.)",barrubarru ,,,,adjective,
158,bend,barrubarrubi ,,,,intransitive Verb,
159,bend,barrubarrunga,,,,transitive Verb,
160,bend,barrunga,,,,transitive Verb,
161,lower part of the back Cf. mambu,baru ,,,,noun,
162,name of a waterfall and gorge in niagara (?) distric,bawir ,,,,noun,
163,(other dialect/language ? ) shoot,Bawu,,,,transitive Verb,
164,rock wallaby (small),bawur ,,,,noun,
165,it is [someone] turn to do,baya ,,,,adverb,
166,sing,baya ,,,,transitive Verb,
167,"in return, in turn,.. back ""same to you""",bayabaya,,,,adverb,
168,native bee (=wuriba),bayal ,,,,noun,
169,place on herbert river ?),bayamarra,,,,noun,
170,"(instrumental verb) sing with..., sing to...",bayari ,,,,transitive Verb,
171,(RECP) sing?,bayawa ,,,,"intransitive Verb, transitive",
172,"fig tree pine, fig tree, fig",baygari ,,,,noun ,
173,bash,baygu ,,,,transitive Verb,
174,"bash, kill ",baygunga ,,,,transitive Verb,
175,(RECP) wrestle,bayguwa ,,,,intransitive,
176,"bind up, twist (fingers), stir up",bayi ,,,,transitive Verb,
177,cunning,bayilbayil ,,,,adjective,
178,"(REFL) turn, turn oneself",bayili,,,,intransitive,
179,(RECP) argue (with the object of gugu,bayiwa ,,,,intransitive,
180,"(1) sweat, (2) sweating, hot",baynggirra ,,,,"noun, adjective",
181,"wave (tail, of fish)",bayumbi ,,,,transitive Verb,
182,"(ACC: bayumbirri-nya) man's name, character in the myth of innot springs (from vt bayumbi)",bayumbirri,,,,noun,
183,female frivate part (clitoris),bibi ,,,,noun,
184,poke [a woman],bibibaba ,,,,transitive,
185,"(REFL) masturbate, poke oneself",bibibabali,,,,intransitive,
186,place (on herbert river),bidaman,,,,noun,
187,"fork stick, divided stick",biga ,,,,noun,
188,(1) death adder (snake) (2) henrietta creek (near abergowrie),bigal ,,,,noun,
189,eagle hawk (?) twin (?),bigany ,,,,noun,
190,"fish hawk (=grey, salt water eagle hawk)",bigaranggal,,,,noun,
191,pig (from english word pig),bigibigi,,,,noun,
192,shield (big),bigin,,,,noun,
193,nail,biguny,,,,noun,
194,(erg: biguny-ju) (?) nail,biguy ,,,,N.II,
195,"drink, swallow, suck",bija ,,,,transitive,
196,(not warrungu ?) bark of tree,bijal,,,,noun,
197,swell up,bijari ,,,,intransitive,
198,"drink from, drink with ",bijari,,,,transitive,
199,wide (often bijirr),bijil,,,,adjective,
200,(warrungu ?) piturri (weed for medicine),bijiri,,,,noun,
201,"make wide/ wider, open, split",bijilnga,,,,transitive,
202,(whole) female private parts,bila,,,,transitive,
203,(ERG: bilanggirr-u ) blanket (from the english word blanket),bilnggirr,,,,noun,
204,front part of spear,bilarru ,,,,noun,
205,peewee (bird),Bilbil ,,,,noun,
206,"knife for fighting (both sides sharp), handle (of knife ?)",bilguru ,,,,noun,
207,"dawn, daylight in the early morning",biliji ,,,,noun,
208,"pushover, blow down, spill ",bilmba,,,,transitive,
209,"(1) widow, widower, (2) hip (only sides) ?",bilbu ,,,,noun,
210,"crimson rosella , king parrot (=red-capped parrot)",bilnbiran ,,,,noun,
211,hip,bilu ,,,,noun,
212,"hook (of a spear), claw (of eaglehawk, etc.)",bilun ,,,,noun,
213,"aunt, mother-in-law, father's sister",bimu,,,,kinship noun,
214,"aunt, mother-in-law, father's sister",bimuna,,,,kinship noun,
215,as bimu,bimubara,,,,noun,
216,mother-in-law,bimugan,,,,noun,
217,(jalnguy ?) (ERG: bimuwarrany-ju) aunt,bimurray,,,,n.II,
218,ERG: bimurrany-ju) aunt,bimuwarray,,,,n.II,
219,scratch (= giba),binba ,,,,transitive,
220,"jumping frog (with a long nose, jumps for 5 metre, lives in the bank of a river)",binbany ,,,,noun,
221,shoulder,Binda,,,,noun,
222,"1) stand up, (2) stand up, employ release (faece, urine, fart), plant (seeds), give (name), grow (potatoes, etc.), cross (legs)",binda,,,,"intransitive, transitive",
223,(instrumental verb) put [something] in [something] ,bindari ,,,,transitive,
224,"(RECP) leave one/each other, go separetly ",Bindawa ,,,,intransitive,
225,"let go, release [person, fart]",bindnga ,,,,transitive,
226,womans name (one of alf palmer's granddaughters) (rachel ?),binggany ,,,,noun,
227,flat (e.g. damper),binggaral,,,,adjective,
228,place of herbert river near ravenshoe,binggil,,,,noun,
229,person(s) of binggil,binggilbarra,,,,noun,
230,hot (juwuy),binggir ,,,,adjective,
231,get hot,binggirbi ,,,,intransitive,
232,"make hot, boil",binggirnga ,,,,transitive,
233,frilled lizard,bininyja ,,,,noun,
234,(jalnguy ?) drink (cf. bija),binja ,,,,transitive,
235,(jalnguy ?) drink (cf. bija),binyja,,,,transitive,
236,(also possibly binyjubara) (jalnguy) foot,binjubara ,,,,noun,
237,"feel fine, well, good",binyji,,,,intransitive,
238,feel well,binyjilbinyjili ,,,,intransitive,
239,"feel funny, be afraid, be annoyed",binyjilgumanbi ,,,,intransitive,
240,"feel fine, good, well",binyjili ,,,,intransitive,
241,"type of lizard, about half a foot long, bigger than buynyjul",binyjirin,,,,noun,
242,scared,bira,,,,adjective,
243,thin,biral,,,,adjective,
244,low ,biran,,,,adjective,
245,"lap, crossed legs",biran,,,,noun,
246,type of very small fish (live in fresh water),biranu,,,,noun,
247,wife,birgu,,,,kinship noun,
248,wife ,birguna,,,,kinship noun,
249,become a wife ,birgubi,,,,intransitive,
250,make [someone] a wife,birgunga,,,,transitive,
251,tail of a fish,biri,,,,noun,
252,"(1) grey hair, (2) grey (of hair)?",birngga,,,,"noun, adjective",
253,"become old, have grey hair",birnggabi,,,,intransitive,
254,"(COM suffix -yi) having grey hair, old",birnggayi,,,,noun,
255,dig,birnggu,,,,transitive,
256,down the gully,birra,,,,adverb,
257,wrist ?,birra,,,,noun,
258,talk,birra,,,,transitive,
259,"night owl, night hawk (kills Possums)",birraga,,,,noun,
260,(general RECP meaning) talk with eachother/ one another,birrawa,,,,intransitive,
261,"(1) stuck, (2) wrist ??",birrba,,,,"adjective, noun",
262,"winter, cold weather",birrgiba,,,,noun,
263,be cold (of a room),birrgibarabi,,,,intransitive,
264,cold weather,birrgil,,,,noun,
265,close ,birri,,,,adverb,
266,"send, hunt away, make [someone] do... ",birri,,,,transitive,
267,a little long way (nearer than gani mara),birri-jaymbay,,,,adverb,
268,go closer,birribi,,,,intransitive,
269,very close,birribirri,,,,adverb,
270,"along side (water,etc.)",birrigaji,,,,adverb,
271,fiancee or fiancee promised and sent by mother-in-law or father-in-law,birrilgay,,,,noun,
272,"fetch (this way), gather up [wood]",birringa,,,,transitive,
273,bed,birrinu,,,,noun,
274,(instumental verb ) send with ,birriri,,,,transitive,
275,"womb, ? navel",birrugay,,,,noun,
276,"(1) (side) of waist, (2) gully, valley, small creek",biru,,,,noun,
277,blind creek,birungumay,,,,n.II,
278,go down to gully,biruwubi,,,,intransitive,
279,"body, person",bubu,,,,noun,
280,(non- warrungu ?) married (bubayi ?),bubay,,,,adjective,
281,pluck ,bubi,,,,transitive,
282,"(1) bushfire, (2) grassy country",bugan,,,,noun,
283,swell up,bugara,,,,intransitive,
284,"fishing spear (with one blade and one point, sharp)",bugarra,,,,noun,
285,type of turtle,bugawu,,,,noun,
286,old man,bugiba,,,,noun,
287,spring water creek (on herbert river in wairuna country),bugunbugun,,,,noun,
288,soft,bujala,,,,adjective,
289,"(1) fart, wind, (2) little bream (fish, alway emits bubbles from the mouth)",buji,,,,noun,
290,"fart, pass wind",bujibujibi,,,,intransitive,
291,"taking no notice, ""don't care nothing""",bujilbujil,,,,adjective,
292,do not care,bujilbujili,,,,intransitive,
293,take no notice,bujilmba,,,,intransitive,
294,cockroach,bujinburram ,,,,noun,
295,farting alot,bujiyi-bujiyi,,,,comitative suffix,
296,paperbark ti-tree ,buju,,,,noun,
297,"any drink (rum, wine, whisky, etc.)",bujulu,,,,noun,
298,they two,bula,,,,pronoun,
299,firefly,bulal,,,,noun,
300,small boy ( miss hearing of buramu? ?),bulamu,,,,noun,
301,wild apple,bulana,,,,noun,
302,"cattle, bullock (from the english word bullock ?)",bulanggi,,,,noun,
303,scrub loya cane ,bulara,,,,noun,
304,two,bulari,,,,"noun, adjectve",
305,four,bularibulari,,,,"noun, adjectve",
306,"make two, do twice, etc.",bularinga,,,,transitive,
307,twice,bularingal,,,,adverb,
308,"do twice, [stay] two nights",bularingalbi,,,,intransitive,
309,four,bularubularu,,,,"noun, adjectve",
310,(girramay ?) two,bulayi,,,,"noun, adjectve",
311,four,bulayibulayi,,,,"noun, adjectve",
312,five,bulayigurrbara,,,,"noun, adjectve",
313,(in) love,bulba,,,,"noun, adjectve",
314,be in love,bulbabi,,,,intransitive,
315,in love (COM suffix),bulbayi,,,,adjective,
316,"(gulnggay ?) grey (hair), old man",bulbu,,,,noun,
317,"become red hot, grey-looking (of cooking-stone, etc.)",bulbubi,,,,intransitive,
318,swallow up,bulga,,,,transitive,
319,"(1) to break twigs (of branches) of tree to show the direction in which one is going, (2) track on the grass",bulgar,,,,noun,
320,sister (younger and elder),bulgu,,,,kinship noun,
321,"(1) mopoke, powerful owl, (2) place in abergowrie country",bulibuli,,,,noun,
322,policeman,buliman,,,,noun,
323,(warrgamay ?) light (not heavy),buliya,,,,adjective,
324,feel light,buliyabi,,,,intransitive,
325,policeman,bulman,,,,noun,
326,camp,bulnbun,,,,noun,
327,tree kangaroo,bulnggarri,,,,noun,
328,light (not heavy),bulnggi,,,,adjective,
329,belly,bulu,,,,noun,
330,bell empty 'hungry',bulu balji,,,,adjective,
331,"father's father, son's son, also brothers son's son",bulu,,,,kinship noun,
332,"father's father, son's son, also brothers son's son",buluna,,,,kinship noun,
333,all my bulu/buluna,buluguway,,,,noun,
334,place on kirrama range,bulunda,,,,noun,
335,"full, satiated [with food] ",bulu-yi,,,,adjective,
336,satiate [someone] (of food),buluyinga,,,,transitive,
337,"ashes, dust",bumba,,,,noun,
338,"people or region of Mt. suprise, fossil Brook, chillago, sundown, (e.g.wamin people)",bumbabarra,,,,noun,
339,be/become (lke0 ashes,bumbabi,,,,intransitive,
340,"stick, pole",bumbal,,,,noun,
341,maggot,bun.gu,,,,noun,
342,"fire, wood of fire",bunabara,,,,noun,
343,"(1) couch grass, (2) fern bank (place near abergowire, between abergowire and lannercost)",bunabuna,,,,noun,
344,sleep,bunali,,,,intransitive,
345,"(1) cry, (2) vt.1 follow",bunba,,,,"intransitive, transitive",
346,"wound, wounded person",bunbarra,,,,noun,
347,get wounded,bunbarrabi,,,,intransitive,
348,"wound, hurt, spear [someone] through",bunbarranga,,,,transitive,
349,(jalnguy) big smoke,bunbubarra,,,,noun,
350,(jalnguy) smoke,bunbubaya,,,,noun,
351,smoke,bunbul,,,,noun,
352,as bunbubarra,bunbulbara,,,,noun,
353,as bunubaya,bunbulbaya,,,,noun,
354,"(COM suffix) be in love, want",bunburrayi or bunburray,,,,noun,
355,place on herbert river near kirrama,bundilbuna,,,,noun,
356,grass hopper,bundiny,,,,noun,
357,(LOC: bundurruny-ja) bag,bundurruy,,,,n.II,
358,fart at [someone] ,bungga,,,,transitive,
359,bigg type of red scrub wallaby,bunggil,,,,noun,
360,knee,bunggu,,,,noun,
361,on knees,bunggulnburu,,,,adverb,
362,kneel down,bunggulnburubi,,,,intransitive,
363,(com: bunggurray-ji) snore,bunggurray,,,,n.I,
364,snoring,bunggurraybaya,,,,adjective,
365,snore,bungurraybunggurraybi,,,,intransitive,
366,"(1) pouch of a kangaroo, (2) upper part of minga, (3) to clap laps for rhythming",bungun,,,,noun,
367,Mt. Pandanus,bungurrji,,,,noun,
368,"be dizzy, groggy, mad",buni,,,,intransitive,
369,feel fairly mad (not feeling as bad as buni-garra-),bunilbunili,,,,intransitive,
370,"smash, crush",bunjaynga,,,,transitive,
371,"type of fly (big, bites)",bunul,,,,noun,
372,boy from 10 to 17 ?? ,bura,,,,noun,
373,camp where young men are trained to be proper grown-ups,buramu,,,,noun,
374,track on the grass (grass is lying down). Cf. jina (bulgar ?),burgal,,,,noun,
375,(jalnguy) bark billy can,burgil,,,,noun,
376,dark brown rat (live in bush),burgu,,,,noun,
377,"fire, wood for fire",buri,,,,noun,
378,elbow,burijil,,,,noun,
379,eyebrow,burjil,,,,noun,
380,"(1) white ant on the ground, (2) place on herbert river about three or four miles below cashmere",burnggan,,,,noun,
381,rotten,burngul,,,,adjective,
382,make rotten,burngulnga,,,,transitive,
383,elbow,burnyju,,,,noun,
384,(LOC: burray-ja) place on herbert river,burray,,,,n.I,
385,type of lizzar,burrbanba,,,,noun,
386,"pluck (feather, etc.)",burrbi,,,,transitive,
387,any monkey,burrgilburrgil,,,,noun,
388,palm Island,burrguman,,,,noun,
389,"(non-warrungu ? jirrbal, girramay ?) name",burri,,,,noun,
390,flying squirrel (lives in forest on the range),burril,,,,transitive,
391, breathe upon [someone],burrmbu,,,,transitive,
392,deaf sit 'be deaf',burrmu nyina,,,,,
393,"forget, be deaf",burrmubi,,,,intransitive,
394,make forget,burrmunga,,,,transitive,
395,first ,burru,,,,adverb,
396,(COM: burrubay-ji) boil,burrubay,,,,n.I,
397,(LOC: burruba-ja) place near ingham,burrubay,,,,n.I,
398,ring tail possum,burrugu,,,,noun,
399,elbow,buru,,,,noun,
400,marks of person which are left on the ground after they have intercourse,burula,,,,noun,
401,fighting ground,burun,,,,noun,
402,"blood inside guts, blood that oozes from meat when it is cooked",buwa,,,,noun,
403,stone axe,buwa,,,,noun,
404,"OK', 'Yes'",buwu,,,,interj,
405,(1) news (2) cries at funeral,buwuba,,,,noun,
406,(jalnguy) nutcher bird,buwunybuwuny,,,,noun,
407,"(song word) yawning, very sick, snoring",buwurrbalbaya,,,,adjective,
408,"(1) 'ok, you go.', (2) used to make a hint; if someone says 'buywuy', someone else takes the hint. ",buwuy,,,,interj,
409,"blow [nose], blow, smoke [tobacco] ",buya,,,,transitive,
410,bark chips that come off a trunk caused by a possums scratches,buyalbuyal,,,,noun,
411,be or become bark chips,buyalbuyalbi,,,,intransitive,
412,hide (by putting in a hole? cf. garbi),buyba,,,,transitive,
413,womans name (alf palmer's aunt - his mother's sister ?),buybanu,,,,noun,
414,spat on [someone] with salliva,buybu ,,,,transitive,
415,"(1) place (between munggumay and gangga), (2), onion bay on palm island",buybun,,,,noun,
416,spring (of water),buybun,,,,noun,
417,"eyelash, eyebrow",buyin,,,,noun,
418,smell of fish,buynyjal,,,,noun,
419,"any small lizard, shingle back lizard, type of lizard on a tree",buynyjul or buynjul,,,,noun,
420,,,,,,,
421,page 24,DA,,,,,
422,"black palm (edible, sweet, of the type smaller then gunban.gara)",daba,,,,noun,
423,black palm (place on stone river),dababulu,,,,noun,
424,sand frog (its belly swells up),dabal,,,,noun,
425,"Husband of (younger or elder) sister, brother in-law",dadiny,,,,noun,
426,be/ become dry (e.g. gut from a kangaroo) ,dalaybi,,,,intransitive,
427,place of cashmere Road between kirrama and tully,dalnbalay,,,,noun,
428,"dry, weathered (of tree)",dalnga,,,,adjective,
429,neck,darabila,,,,noun,
430,dig,digu,,,,transitive,
431,flea,dimaniny,,,,noun,
432,bell,dinggildinggil,,,,noun,
433,scale of fish,dirin,,,,noun,
434,place (on herbert river)),dirrabigal,,,,noun,
435,hit,duda,,,,transitive,
436,"wild penut, with six nuts each",dudam,,,,noun,
437,swing (of tree),dudi,,,,intransitive,
438,"fern, whose root is eaten, (2) place on herbert river in scrub. this is a swampy place and many dugal-ferns grown there.",dugal,,,,noun,
439,lower leg,dujur,,,,noun,
440,alf palmers daughter: joyce Palmer),dulubu,,,,noun,
441,place on herbert river near abergowrie,dumban,,,,noun,
442,"wart of a forest ti-tree the wart contains water, which is used as drinking by aboriginal people ",dumbil,,,,noun,
443,have a dumbil (of tree),dumbilbi,,,,intransitive,
444,place in Niagara district,dumbilbulu,,,,noun,
445,bull ant,dumbulan,,,,noun,
446,ripe,dun.gun,,,,adjective,
447,ripen,dun.gunbi,,,,intransitive,
448,any little bird,dundu,,,,noun,
449,white paint (2) place on stone river,gaba,,,,noun,
450,"grub in a gaban tree, edible",gaban,,,,noun,
451,"ironwood, with red flowers and poisonous honey",gaban.gaban,,,,noun,
452,"a bushy country herbert river, (2) womans name",gabanbayan,,,,noun,
453,"place near ravenshoe, not far from harding paddock, (2) one of alf palmers's granddaughter)",gabanbila,,,,noun,
454,(erg: gabany-ju) yam stick,gabay,,,,n.II,
455,Townsille ,gabilgaba,,,,noun,
456,place (perama (?) hill in niagara (?) district?,gabin,,,,noun,
457,diarrhoea,gabin,,,,noun,
458,emu,gabirri,,,,noun,emu.jpg
459,plain turkey,gabugala,,,,noun,
460,carpet snake ,gabul,,,,noun,carpet_snake.jpg
461,a way of cooking (to cook meat etc. on hot stones covering the meat with big leaves,gabumari,,,,noun,
462,smell (body smell),gabura,,,,noun,
463,"might', possibly",gada,,,,adverb,
464,crack (e.g. fingers),gada,,,,transitive,
465,crack ( of fingers),gadabi,,,,intransitive,
466,"dry, empty, do not feel sorry (with no tears), (2) shallow",gadala,,,,adjective,
467,get dry,gadalabi,,,,intransitive,
468,dry ,gadalanga,,,,transitive,
469,dry,gadalgadal,,,,adjective,
470,crack,gadali,,,,intransitive,
471,crack,gadanga,,,,transitive,
472,big,gagabara,,,,adjective,
473,"become big, grown up",gagabarabi,,,,intransitive,
474,make big,gagabaranga,,,,transitive,
475,hard (not soft),gagajarri,,,,adjective,
476,"big, strong, difficult, hard (not soft) (2) plenty, a lot",gagal,,,,"adjective, noun",
477,grow up be hard,gagalbi,,,,intransitive,
478,"get strong, be hard",gagali,,,,intransitive,
479,strong (COM-SUFFIX),gagalji,,,,adjective,
480,big,gagamba,,,,adjective,
481,middle size,gagambara,,,,adjective,
482,"again, too, also",gagan,,,,adverb,
483,old. noun: man over fourty,gaganba,,,,adjective,
484,make bigger or stronger (with something),gagari,,,,transitive,
485,dilly bag (loya cane),gagarra,,,,noun,
486,laughing jjackass,gagubarra,,,,noun,
487,head,gaja,,,,noun,
488,full (basket),gajabalgara,,,,adjective,
489,make full ,gajabalgaranga,,,,transitive,
490,bald,gajabalgurru,,,,adjective,
491,full,gajabara,,,,adjective,
