,,,,,,,,
e,Translation,Pronunciation,Description,Category,Word type,Image,Audio,Widget
person(s) of binggil,binggilbarra,,,,noun,,,
hot (juwuy),binggir ,,,,adjective,,,
get hot,binggirbi ,,,,intransitive,,,
"make hot, boil",binggirnga ,,,,transitive,,,
frilled lizard,bininyja ,,,,noun,,,
(jalnguy ?) drink (cf. bija),binja ,,,,transitive,,,
(jalnguy ?) drink (cf. bija),binyja,,,,transitive,,,
(also possibly binyjubara) (jalnguy) foot,binjubara ,,,,noun,,,
"feel fine, well, good",binyji,,,,intransitive,,,
feel well,binyjilbinyjili ,,,,intransitive,,,
"feel funny, be afraid, be annoyed",binyjilgumanbi ,,,,intransitive,,,
"feel fine, good, well",binyjili ,,,,intransitive,,,
"type of lizard, about half a foot long, bigger than buynyjul",binyjirin,,,,noun,,,
scared,bira,,,,adjective,,,
thin,biral,,,,adjective,,,
low ,biran,,,,adjective,,,
"lap, crossed legs",biran,,,,noun,,,
type of very small fish (live in fresh water),biranu,,,,noun,,,
wife,birgu,,,,kinship noun,,,
wife ,birguna,,,,kinship noun,,,
become a wife ,birgubi,,,,intransitive,,,
make [someone] a wife,birgunga,,,,transitive,,,
tail of a fish,biri,,,,noun,,,
"(1) grey hair, (2) grey (of hair)?",birngga,,,,"noun, adjective",,,
"become old, have grey hair",birnggabi,,,,intransitive,,,
"(COM suffix -yi) having grey hair, old",birnggayi,,,,noun,,,
dig,birnggu,,,,transitive,,,
down the gully,birra,,,,adverb,,,
wrist ?,birra,,,,noun,,,
talk,birra,,,,transitive,,,
"night owl, night hawk (kills Possums)",birraga,,,,noun,,,
(general RECP meaning) talk with eachother/ one another,birrawa,,,,intransitive,,,
"(1) stuck, (2) wrist ??",birrba,,,,"adjective, noun",,,
"winter, cold weather",birrgiba,,,,noun,,,
be cold (of a room),birrgibarabi,,,,intransitive,,,
cold weather,birrgil,,,,noun,,,
close ,birri,,,,adverb,,,
"send, hunt away, make [someone] do... ",birri,,,,transitive,,,
a little long way (nearer than gani mara),birri-jaymbay,,,,adverb,,,
go closer,birribi,,,,intransitive,,,
very close,birribirri,,,,adverb,,,
"along side (water,etc.)",birrigaji,,,,adverb,,,
fiancee or fiancee promised and sent by mother-in-law or father-in-law,birrilgay,,,,noun,,,
"fetch (this way), gather up [wood]",birringa,,,,transitive,,,
bed,birrinu,,,,noun,,,
(instumental verb ) send with ,birriri,,,,transitive,,,
"womb, ? navel",birrugay,,,,noun,,,
"(1) (side) of waist, (2) gully, valley, small creek",biru,,,,noun,,,
blind creek,birungumay,,,,n.II,,,
go down to gully,biruwubi,,,,intransitive,,,
,,,,,,,,
,BU,,,,,,,
"body, person",bubu,,,,noun,,,
(non- warrungu ?) married (bubayi ?),bubay,,,,adjective,,,
pluck ,bubi,,,,transitive,,,
"(1) bushfire, (2) grassy country",bugan,,,,noun,,,
swell up,bugara,,,,intransitive,,,
"fishing spear (with one blade and one point, sharp)",bugarra,,,,noun,,,
type of turtle,bugawu,,,,noun,,,
old man,bugiba,,,,noun,,,
spring water creek (on herbert river in wairuna country),bugunbugun,,,,noun,,,
soft,bujala,,,,adjective,,,
"(1) fart, wind, (2) little bream (fish, alway emits bubbles from the mouth)",buji,,,,noun,,,
"fart, pass wind",bujibujibi,,,,intransitive,,,
"taking no notice, ""don't care nothing""",bujilbujil,,,,adjective,,,
do not care,bujilbujili,,,,intransitive,,,
take no notice,bujilmba,,,,intransitive,,,
cockroach,bujinburram ,,,,noun,,,
farting alot,bujiyi-bujiyi,,,,comitative suffix,,,
paperbark ti-tree ,buju,,,,noun,,,
"any drink (rum, wine, whisky, etc.)",bujulu,,,,noun,,,
they two,bula,,,,pronoun,,,
firefly,bulal,,,,noun,,,
small boy ( miss hearing of buramu? ?),bulamu,,,,noun,,,
wild apple,bulana,,,,noun,,,
"cattle, bullock (from the english word bullock ?)",bulanggi,,,,noun,,,
scrub loya cane ,bulara,,,,noun,,,
two,bulari,,,,"noun, adjectve",,,
four,bularibulari,,,,"noun, adjectve",,,
"make two, do twice, etc.",bularinga,,,,transitive,,,
twice,bularingal,,,,adverb,,,
"do twice, [stay] two nights",bularingalbi,,,,intransitive,,,
four,bularubularu,,,,"noun, adjectve",,,
(girramay ?) two,bulayi,,,,"noun, adjectve",,,
four,bulayibulayi,,,,"noun, adjectve",,,
five,bulayigurrbara,,,,"noun, adjectve",,,
(in) love,bulba,,,,"noun, adjectve",,,
be in love,bulbabi,,,,intransitive,,,
in love (COM suffix),bulbayi,,,,adjective,,,
"(gulnggay ?) grey (hair), old man",bulbu,,,,noun,,,
"become red hot, grey-looking (of cooking-stone, etc.)",bulbubi,,,,intransitive,,,
swallow up,bulga,,,,transitive,,,
"(1) to break twigs (of branches) of tree to show the direction in which one is going, (2) track on the grass",bulgar,,,,noun,,,
sister (younger and elder),bulgu,,,,kinship noun,,,
"(1) mopoke, powerful owl, (2) place in abergowrie country",bulibuli,,,,noun,,,
policeman,buliman,,,,noun,,,
(warrgamay ?) light (not heavy),buliya,,,,adjective,,,
feel light,buliyabi,,,,intransitive,,,
policeman,bulman,,,,noun,,,
camp,bulnbun,,,,noun,,,
tree kangaroo,bulnggarri,,,,noun,,,
light (not heavy),bulnggi,,,,adjective,,,
belly,bulu,,,,noun,,,
bell empty 'hungry',bulu balji,,,,adjective,,,
"father's father, son's son, also brothers son's son",bulu,,,,kinship noun,,,
"father's father, son's son, also brothers son's son",buluna,,,,kinship noun,,,
all my bulu/buluna,buluguway,,,,noun,,,
place on kirrama range,bulunda,,,,noun,,,
"full, satiated [with food] ",bulu-yi,,,,adjective,,,
satiate [someone] (of food),buluyinga,,,,transitive,,,
"ashes, dust",bumba,,,,noun,,,
"people or region of Mt. suprise, fossil Brook, chillago, sundown, (e.g.wamin people)",bumbabarra,,,,noun,,,
be/become (lke0 ashes,bumbabi,,,,intransitive,,,
"stick, pole",bumbal,,,,noun,,,
maggot,bun.gu,,,,noun,,,
"fire, wood of fire",bunabara,,,,noun,,,
"(1) couch grass, (2) fern bank (place near abergowire, between abergowire and lannercost)",bunabuna,,,,noun,,,
sleep,bunali,,,,intransitive,,,
"(1) cry, (2) vt.1 follow",bunba,,,,"intransitive, transitive",,,
"wound, wounded person",bunbarra,,,,noun,,,
get wounded,bunbarrabi,,,,intransitive,,,
"wound, hurt, spear [someone] through",bunbarranga,,,,transitive,,,
(jalnguy) big smoke,bunbubarra,,,,noun,,,
(jalnguy) smoke,bunbubaya,,,,noun,,,
smoke,bunbul,,,,noun,,,
as bunbubarra,bunbulbara,,,,noun,,,
as bunubaya,bunbulbaya,,,,noun,,,
"(COM suffix) be in love, want",bunburrayi or bunburray,,,,noun,,,
place on herbert river near kirrama,bundilbuna,,,,noun,,,
grass hopper,bundiny,,,,noun,,,
(LOC: bundurruny-ja) bag,bundurruy,,,,n.II,,,
fart at [someone] ,bungga,,,,transitive,,,
bigg type of red scrub wallaby,bunggil,,,,noun,,,
knee,bunggu,,,,noun,,,
on knees,bunggulnburu,,,,adverb,,,
kneel down,bunggulnburubi,,,,intransitive,,,
(com: bunggurray-ji) snore,bunggurray,,,,n.I,,,
snoring,bunggurraybaya,,,,adjective,,,
snore,bungurraybunggurraybi,,,,intransitive,,,
"(1) pouch of a kangaroo, (2) upper part of minga, (3) to clap laps for rhythming",bungun,,,,noun,,,
Mt. Pandanus,bungurrji,,,,noun,,,
"be dizzy, groggy, mad",buni,,,,intransitive,,,
feel fairly mad (not feeling as bad as buni-garra-),bunilbunili,,,,intransitive,,,
"smash, crush",bunjaynga,,,,transitive,,,
"type of fly (big, bites)",bunul,,,,noun,,,
boy from 10 to 17 ?? ,bura,,,,noun,,,
camp where young men are trained to be proper grown-ups,buramu,,,,noun,,,
track on the grass (grass is lying down). Cf. jina (bulgar ?),burgal,,,,noun,,,
(jalnguy) bark billy can,burgil,,,,noun,,,
dark brown rat (live in bush),burgu,,,,noun,,,
"fire, wood for fire",buri,,,,noun,,,
elbow,burijil,,,,noun,,,
eyebrow,burjil,,,,noun,,,
"(1) white ant on the ground, (2) place on herbert river about three or four miles below cashmere",burnggan,,,,noun,,,
rotten,burngul,,,,adjective,,,
make rotten,burngulnga,,,,transitive,,,
elbow,burnyju,,,,noun,,,
(LOC: burray-ja) place on herbert river,burray,,,,n.I,,,
type of lizzar,burrbanba,,,,noun,,,
"pluck (feather, etc.)",burrbi,,,,transitive,,,
any monkey,burrgilburrgil,,,,noun,,,
palm Island,burrguman,,,,noun,,,
"(non-warrungu ? jirrbal, girramay ?) name",burri,,,,noun,,,
flying squirrel (lives in forest on the range),burril,,,,transitive,,,
 breathe upon [someone],burrmbu,,,,transitive,,,
deaf sit 'be deaf',burrmu nyina,,,,,,,
"forget, be deaf",burrmubi,,,,intransitive,,,
make forget,burrmunga,,,,transitive,,,
first ,burru,,,,adverb,,,
(COM: burrubay-ji) boil,burrubay,,,,n.I,,,
(LOC: burruba-ja) place near ingham,burrubay,,,,n.I,,,
ring tail possum,burrugu,,,,noun,,,
elbow,buru,,,,noun,,,
marks of person which are left on the ground after they have intercourse,burula,,,,noun,,,
fighting ground,burun,,,,noun,,,
"blood inside guts, blood that oozes from meat when it is cooked",buwa,,,,noun,,,
stone axe,buwa,,,,noun,,,
"OK', 'Yes'",buwu,,,,interj,,,
(1) news (2) cries at funeral,buwuba,,,,noun,,,
(jalnguy) nutcher bird,buwunybuwuny,,,,noun,,,
"(song word) yawning, very sick, snoring",buwurrbalbaya,,,,adjective,,,
"(1) 'ok, you go.', (2) used to make a hint; if someone says 'buywuy', someone else takes the hint. ",buwuy,,,,interj,,,
"blow [nose], blow, smoke [tobacco] ",buya,,,,transitive,,,
bark chips that come off a trunk caused by a possums scratches,buyalbuyal,,,,noun,,,
be or become bark chips,buyalbuyalbi,,,,intransitive,,,
hide (by putting in a hole? cf. garbi),buyba,,,,transitive,,,
womans name (alf palmer's aunt - his mother's sister ?),buybanu,,,,noun,,,
spat on [someone] with salliva,buybu ,,,,transitive,,,
"(1) place (between munggumay and gangga), (2), onion bay on palm island",buybun,,,,noun,,,
spring (of water),buybun,,,,noun,,,
"eyelash, eyebrow",buyin,,,,noun,,,
smell of fish,buynyjal,,,,noun,,,
"any small lizard, shingle back lizard, type of lizard on a tree",buynyjul or buynjul,,,,noun,,,
,,,,,,,,
page 24,DA,,,,,,,
"black palm (edible, sweet, of the type smaller then gunban.gara)",daba,,,,noun,,,
black palm (place on stone river),dababulu,,,,noun,,,
sand frog (its belly swells up),dabal,,,,noun,,,
"Husband of (younger or elder) sister, brother in-law",dadiny,,,,noun,,,
be/ become dry (e.g. gut from a kangaroo) ,dalaybi,,,,intransitive,,,
place of cashmere Road between kirrama and tully,dalnbalay,,,,noun,,,
"dry, weathered (of tree)",dalnga,,,,adjective,,,
neck,darabila,,,,noun,,,
,,,,,,,,
,DI,,,,,,,
dig,digu,,,,transitive,,,
flea,dimaniny,,,,noun,,,
bell,dinggildinggil,,,,noun,,,
scale of fish,dirin,,,,noun,,,
place (on herbert river)),dirrabigal,,,,noun,,,
,,,,,,,,
,DU,,,,,,,
hit,duda,,,,transitive,,,
"wild penut, with six nuts each",dudam,,,,noun,,,
swing (of tree),dudi,,,,intransitive,,,
"fern, whose root is eaten, (2) place on herbert river in scrub. this is a swampy place and many dugal-ferns grown there.",dugal,,,,noun,,,
lower leg,dujur,,,,noun,,,
alf palmers daughter: joyce Palmer),dulubu,,,,noun,,,
place on herbert river near abergowrie,dumban,,,,noun,,,
"wart of a forest ti-tree the wart contains water, which is used as drinking by aboriginal people ",dumbil,,,,noun,,,
have a dumbil (of tree),dumbilbi,,,,intransitive,,,
place in Niagara district,dumbilbulu,,,,noun,,,
bull ant,dumbulan,,,,noun,,,
ripe,dun.gun,,,,adjective,,,
ripen,dun.gunbi,,,,intransitive,,,
any little bird,dundu,,,,noun,,,
,,,,,,,,
,GA,,,,,,,
white paint (2) place on stone river,gaba,,,,noun,,,
"grub in a gaban tree, edible",gaban,,,,noun,,,
"ironwood, with red flowers and poisonous honey",gaban.gaban,,,,noun,,,
"a bushy country herbert river, (2) womans name",gabanbayan,,,,noun,,,
"place near ravenshoe, not far from harding paddock, (2) one of alf palmers's granddaughter)",gabanbila,,,,noun,,,
(erg: gabany-ju) yam stick,gabay,,,,n.II,,,
Townsille ,gabilgaba,,,,noun,,,
place (perama (?) hill in niagara (?) district?,gabin,,,,noun,,,
diarrhoea,gabin,,,,noun,,,
emu,gabirri,,,,noun,,,
plain turkey,gabugala,,,,noun,,,
carpet snake ,gabul,,,,noun,,,
a way of cooking (to cook meat etc. on hot stones covering the meat with big leaves,gabumari,,,,noun,,,
smell (body smell),gabura,,,,noun,,,
"might', possibly",gada,,,,adverb,,,
crack (e.g. fingers),gada,,,,transitive,,,
crack ( of fingers),gadabi,,,,intransitive,,,
"dry, empty, do not feel sorry (with no tears), (2) shallow",gadala,,,,adjective,,,
get dry,gadalabi,,,,intransitive,,,
dry ,gadalanga,,,,transitive,,,
dry,gadalgadal,,,,adjective,,,
crack,gadali,,,,intransitive,,,
crack,gadanga,,,,transitive,,,
big,gagabara,,,,adjective,,,
"become big, grown up",gagabarabi,,,,intransitive,,,
make big,gagabaranga,,,,transitive,,,
hard (not soft),gagajarri,,,,adjective,,,
"big, strong, difficult, hard (not soft) (2) plenty, a lot",gagal,,,,"adjective, noun",,,
grow up be hard,gagalbi,,,,intransitive,,,
"get strong, be hard",gagali,,,,intransitive,,,
strong (COM-SUFFIX),gagalji,,,,adjective,,,
big,gagamba,,,,adjective,,,
middle size,gagambara,,,,adjective,,,
"again, too, also",gagan,,,,adverb,,,
old. noun: man over fourty,gaganba,,,,adjective,,,
make bigger or stronger (with something),gagari,,,,transitive,,,
dilly bag (loya cane),gagarra,,,,noun,,,
